type,category,name,symbol,unit,price,change,change_percent,weekly_percent,monthly_percent,ytd_percent,yoy_percent,date,url,scraped_at
stock,Europe,MBI 10,MBI 10,Index Points,9212.0,23.0,-0.25,-1.55,-2.46,-8.38,-12.46,Aug/05,https://tradingeconomics.com/macedonia/stock-market,2026-08-06T12:18:04.601851
stock,Europe,MSE,MSE,Index Points,4147.0,15.0,0.37,1.16,0.28,9.48,6.92,Aug/05,https://tradingeconomics.com/malta/stock-market,2026-08-06T12:18:04.601909
stock,Europe,Monex,Monex,Index Points,17518.02,16.5,0.09,0.51,-2.4,-6.59,-0.06,Aug/05,https://tradingeconomics.com/montenegro/stock-market,2026-08-06T12:18:04.601969
stock,Europe,DE Mid,DE Mid,Index Points,32396.95,167.71,-0.52,0.51,-2.69,5.81,4.63,Aug/05,https://tradingeconomics.com/mdax:ind,2026-08-06T12:18:04.602027
stock,Europe,DE Small,DE Small,Index Points,18553.91,85.52,-0.46,-0.06,0.08,8.03,9.01,Aug/05,https://tradingeconomics.com/sdax:ind,2026-08-06T12:18:04.602090
stock,Europe,Euro Stoxx Banks,Euro Stoxx Banks,Index Points,318.49,0.75,0.24,5.86,4.93,20.98,44.52,Aug/05,https://tradingeconomics.com/sx7e:ind,2026-08-06T12:18:04.602153
stock,America,US500,US500,Index Points,7728.76,5.21,0.07,3.91,3.0,12.9,21.9,Aug/06,https://tradingeconomics.com/united-states/stock-market,2026-08-06T12:18:04.602430
stock,America,US30,US30,Index Points,54457.0,108.0,0.2,4.31,2.89,13.3,23.85,Aug/06,https://tradingeconomics.com/indu:ind,2026-08-06T12:18:04.602489
stock,America,US100,US100,Index Points,29330.0,158.0,-0.54,4.35,0.54,16.16,25.4,Aug/06,https://tradingeconomics.com/us100:ind,2026-08-06T12:18:04.602548
stock,America,Ecuador General,Ecuador General,Index Points,1769.0,0.0,-0.02,1.32,2.74,23.64,38.22,Aug/03,https://tradingeconomics.com/ecuador/stock-market,2026-08-06T12:18:04.602611
stock,America,TSX,TSX,Index Points,36146.0,345.0,0.96,2.3,2.65,13.98,29.46,Aug/05,https://tradingeconomics.com/canada/stock-market,2026-08-06T12:18:04.602893
stock,America,IBOVESPA,IBOVESPA,Index Points,177726.0,169.0,-0.09,2.21,3.06,10.3,32.1,Aug/05,https://tradingeconomics.com/brazil/stock-market,2026-08-06T12:18:04.602960
stock,America,IPC,IPC,Index Points,66525.0,308.0,-0.46,0.07,-1.4,3.51,16.4,Aug/05,https://tradingeconomics.com/mexico/stock-market,2026-08-06T12:18:04.603022
stock,America,Merval,Merval,Index Points,3156332.0,32639.0,-1.02,-2.37,-3.4,3.43,30.69,Aug/05,https://tradingeconomics.com/argentina/stock-market,2026-08-06T12:18:04.603081
stock,America,IBC,IBC,Index Points,5155.0,0.0,0.0,0.49,-1.96,147.55,866.67,Aug/05,https://tradingeconomics.com/venezuela/stock-market,2026-08-06T12:18:04.603182
stock,America,COLCAP,COLCAP,Index Points,2345.0,30.0,-1.26,1.74,2.13,13.38,32.14,Aug/05,https://tradingeconomics.com/colombia/stock-market,2026-08-06T12:18:04.603259
stock,America,IGPA,IGPA,Index Points,55204.0,226.0,-0.41,0.98,1.26,4.7,33.29,Aug/05,https://tradingeconomics.com/chile/stock-market,2026-08-06T12:18:04.603319
stock,America,BVPSI,BVPSI,Index Points,710.0,2.0,0.34,-0.43,1.14,22.62,43.06,Aug/05,https://tradingeconomics.com/panama/stock-market,2026-08-06T12:18:04.603378
stock,America,BSX,BSX,Index Points,3949.0,10.0,0.25,5.17,5.39,23.49,32.56,Aug/05,https://tradingeconomics.com/bermuda/stock-market,2026-08-06T12:18:04.603436
stock,America,JSE,JSE,Index Points,376719.0,1616.0,0.43,2.42,5.03,18.47,22.78,Aug/05,https://tradingeconomics.com/jamaica/stock-market,2026-08-06T12:18:04.603496
stock,America,US1000,US1000,Index Points,4204.36,9.33,-0.22,5.46,2.22,12.63,21.13,Aug/05,https://tradingeconomics.com/riy:ind,2026-08-06T12:18:04.603556
stock,Asia,JP225,JP225,Index Points,65534.0,766.0,-1.16,5.93,-3.99,30.18,59.61,Aug/06,https://tradingeconomics.com/japan/stock-market,2026-08-06T12:18:04.604040
stock,Asia,SHANGHAI,SHANGHAI,Index Points,3894.0,16.0,0.41,2.36,-2.4,-1.88,7.0,Aug/06,https://tradingeconomics.com/china/stock-market,2026-08-06T12:18:04.604102
stock,Asia,CSI 300,CSI 300,Index Points,4642.0,16.0,-0.35,2.03,-3.14,0.26,12.82,Aug/06,https://tradingeconomics.com/shsz300:ind,2026-08-06T12:18:04.604164
stock,Asia,SHANGHAI 50,SHANGHAI 50,Index Points,2916.0,9.0,-0.29,-0.37,-0.22,-3.81,4.19,Aug/06,https://tradingeconomics.com/sse50:ind,2026-08-06T12:18:04.604258
stock,Asia,CH50,CH50,Index Points,14945.06,30.97,-0.21,1.06,-1.15,-2.37,7.19,Aug/06,https://tradingeconomics.com/xin9:ind,2026-08-06T12:18:04.604367
stock,Asia,SENSEX,SENSEX,Index Points,78850.0,269.0,0.34,1.18,0.86,-7.48,-2.2,Aug/06,https://tradingeconomics.com/india/stock-market,2026-08-06T12:18:04.604476
stock,Asia,DSE Broad,DSE Broad,Index Points,5887.0,7.0,-0.12,-0.23,1.43,21.0,7.6,Aug/06,https://tradingeconomics.com/bangladesh/stock-market,2026-08-06T12:18:04.604582
stock,Asia,JCI,JCI,Index Points,6359.0,8.0,0.12,2.79,6.22,-26.46,-15.1,Aug/06,https://tradingeconomics.com/indonesia/stock-market,2026-08-06T12:18:04.604683
stock,Asia,TASI,TASI,Index Points,10888.0,29.0,0.27,3.26,0.69,3.78,-0.54,Aug/05,https://tradingeconomics.com/saudi-arabia/stock-market,2026-08-06T12:18:04.604757
